date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc,avg_order_value,unique_referral_domains,coupon_usage_rate,new_customer_pct
2020-01-01,affiliate,880.34,55118,949,61,4212.18,14.43,4.78,0.0172,0.93,44.42,5,0.0785,0.3754
2020-01-02,affiliate,846.77,90406,1417,51,4359.18,16.6,5.15,0.0157,0.6,48.0,3,0.0582,0.5693
2020-01-03,affiliate,777.39,38087,561,46,4529.07,16.9,5.83,0.0147,1.39,51.58,3,0.0998,0.6322
2020-01-04,affiliate,558.05,36010,490,38,2757.67,14.69,4.94,0.0136,1.14,48.94,3,0.1176,0.7404
2020-01-05,affiliate,602.68,42118,604,50,3661.71,12.05,6.08,0.0143,1.0,54.54,4,0.0783,0.6593
2020-01-06,affiliate,866.83,66982,1147,53,3454.57,16.36,3.99,0.0171,0.76,46.71,7,0.1193,0.4965
2020-01-07,affiliate,906.71,52498,723,68,5071.53,13.33,5.59,0.0138,1.25,56.4,4,0.1037,0.6719
2020-01-08,affiliate,801.27,40834,591,64,4331.39,12.52,5.41,0.0145,1.36,48.05,6,0.0762,0.7193
2020-01-09,affiliate,801.41,91075,1513,51,3916.16,15.71,4.89,0.0166,0.53,56.03,6,0.136,0.5039
2020-01-10,affiliate,947.51,64876,1016,59,5399.3,16.06,5.7,0.0157,0.93,47.5,6,0.1127,0.5406
2020-01-11,affiliate,538.73,33599,508,39,2342.81,13.81,4.35,0.0151,1.06,50.16,6,0.1129,0.7413
2020-01-12,affiliate,701.4,34759,527,56,3599.47,12.53,5.13,0.0152,1.33,45.11,3,0.0732,0.7253
2020-01-13,affiliate,911.68,85018,1235,49,5180.57,18.61,5.68,0.0145,0.74,60.38,4,0.1317,0.6619
2020-01-14,affiliate,846.81,56677,844,56,4790.03,15.12,5.66,0.0149,1.0,49.57,6,0.0815,0.5035
2020-01-15,affiliate,934.44,71305,1152,72,4900.46,12.98,5.24,0.0162,0.81,45.17,6,0.1,0.545
2020-01-16,affiliate,759.84,83858,1303,48,3591.71,15.83,4.73,0.0155,0.58,48.31,5,0.0844,0.6949
2020-01-17,affiliate,647.54,37699,549,37,3420.16,17.5,5.28,0.0146,1.18,54.04,5,0.0875,0.5671
2020-01-18,affiliate,601.63,51977,804,52,3126.34,11.57,5.2,0.0155,0.75,44.56,4,0.1022,0.7519
2020-01-19,affiliate,504.32,45616,776,31,2567.48,16.27,5.09,0.017,0.65,50.73,7,0.08,0.7398
2020-01-20,affiliate,781.3,58524,862,57,4311.23,13.71,5.52,0.0147,0.91,54.08,3,0.108,0.7102
2020-01-21,affiliate,990.14,67527,945,63,5256.73,15.72,5.31,0.014,1.05,45.26,6,0.0634,0.5837
2020-01-22,affiliate,765.63,45639,582,66,4085.26,11.6,5.34,0.0128,1.32,48.41,7,0.0738,0.5497
2020-01-23,affiliate,851.59,64102,912,81,5167.25,10.51,6.07,0.0142,0.93,48.0,7,0.0911,0.5876
2020-01-24,affiliate,896.13,59189,925,57,3794.89,15.72,4.23,0.0156,0.97,44.44,5,0.1018,0.4591
