date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2020-02-01 13:48:33.890452,direct_mail,2317.58,120099,1800,37,3428.41,62.64,1.48,0.015,1.29
2020-02-02 13:48:33.890452,direct_mail,3534.62,182323,2435,52,5963.89,67.97,1.69,0.0134,1.45
2020-02-03 13:48:33.890452,direct_mail,3013.74,191629,3144,42,5940.29,71.76,1.97,0.0164,0.96
2020-02-04 13:48:33.890452,direct_mail,3437.5,321834,5514,57,5973.06,60.31,1.74,0.0171,0.62
2020-02-05 13:48:33.890452,direct_mail,3995.03,302646,4663,68,6059.2,58.75,1.52,0.0154,0.86
2020-02-06 13:48:33.890452,direct_mail,3436.79,203126,2617,51,6012.52,67.39,1.75,0.0129,1.31
2020-02-07 13:48:33.890452,direct_mail,3031.44,136754,1813,42,5072.99,72.18,1.67,0.0133,1.67
2020-02-08 13:48:33.890452,direct_mail,3786.5,225091,3314,50,6413.45,75.73,1.69,0.0147,1.14
2020-02-09 13:48:33.890452,direct_mail,3685.47,279144,5088,60,6914.49,61.42,1.88,0.0182,0.72
2020-02-10 13:48:33.890452,direct_mail,4576.61,341295,5258,71,9274.13,64.46,2.03,0.0154,0.87
2020-02-11 13:48:33.890452,direct_mail,4011.08,327473,5442,58,7502.76,69.16,1.87,0.0166,0.74
2020-02-12 13:48:33.890452,direct_mail,3541.19,178636,3058,51,7032.36,69.44,1.99,0.0171,1.16
2020-02-13 13:48:33.890452,direct_mail,3256.57,271447,3570,43,6123.2,75.73,1.88,0.0132,0.91
2020-02-14 13:48:33.890452,direct_mail,2771.95,315068,4703,54,4427.13,51.33,1.6,0.0149,0.59
2020-02-15 13:48:33.890452,direct_mail,2857.55,201396,2515,40,5906.29,71.44,2.07,0.0125,1.14
2020-02-16 13:48:33.890452,direct_mail,2819.09,298484,4871,44,6032.64,64.07,2.14,0.0163,0.58
2020-02-17 13:48:33.890452,direct_mail,4870.91,340836,4638,67,7641.39,72.7,1.57,0.0136,1.05
2020-02-18 13:48:33.890452,direct_mail,3266.8,227869,2946,46,5856.41,71.02,1.79,0.0129,1.11
2020-02-19 13:48:33.890452,direct_mail,3350.5,157104,1998,56,5825.6,59.83,1.74,0.0127,1.68
2020-02-20 13:48:33.890452,direct_mail,4952.59,277333,3271,72,8169.87,68.79,1.65,0.0118,1.51
2020-02-21 13:48:33.890452,direct_mail,2972.08,186139,2738,52,5372.13,57.16,1.81,0.0147,1.09
2020-02-22 13:48:33.890452,direct_mail,3322.96,230738,2612,56,7744.79,59.34,2.33,0.0113,1.27
2020-02-23 13:48:33.890452,direct_mail,3565.57,225875,3622,58,5821.66,61.48,1.63,0.016,0.98
