date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2020-02-01 13:48:33.890452,events,4501.15,365050,5929,22,6238.74,204.6,1.39,0.0162,0.76
2020-02-02 13:48:33.890452,events,6706.61,449935,7474,31,8254.85,216.34,1.23,0.0166,0.9
2020-02-03 13:48:33.890452,events,7093.38,720123,11058,208,8464.43,34.1,1.19,0.0154,0.64
2020-02-04 13:48:33.890452,events,6916.25,482762,7411,33,10417.48,209.58,1.51,0.0154,0.93
2020-02-05 13:48:33.890452,events,8005.28,673094,10865,34,13573.23,235.45,1.7,0.0161,0.74
2020-02-06 13:48:33.890452,events,7816.46,543074,7287,35,11404.13,223.33,1.46,0.0134,1.07
2020-02-07 13:48:33.890452,events,8063.45,702006,10612,39,11165.19,206.76,1.38,0.0151,0.76
2020-02-08 13:48:33.890452,events,6855.72,432334,7434,30,9547.46,228.52,1.39,0.0172,0.92
2020-02-09 13:48:33.890452,events,7124.03,507758,7583,33,12427.49,215.88,1.74,0.0149,0.94
2020-02-10 13:48:33.890452,events,6075.08,407947,5569,30,7774.74,202.5,1.28,0.0137,1.09
2020-02-11 13:48:33.890452,events,7679.05,435224,5808,41,11895.41,187.29,1.55,0.0133,1.32
2020-02-12 13:48:33.890452,events,7354.92,417514,6009,31,10570.17,237.26,1.44,0.0144,1.22
2020-02-13 13:48:33.890452,events,6442.62,348776,5010,38,9536.68,169.54,1.48,0.0144,1.29
2020-02-14 13:48:33.890452,events,7116.27,748698,11861,40,12008.69,177.91,1.69,0.0158,0.6
2020-02-15 13:48:33.890452,events,6644.88,574571,8414,32,10523.19,207.65,1.58,0.0146,0.79
2020-02-16 13:48:33.890452,events,5724.39,442021,7465,27,8656.01,212.01,1.51,0.0169,0.77
2020-02-17 13:48:33.890452,events,8065.45,472944,6556,35,12025.85,230.44,1.49,0.0139,1.23
2020-02-18 13:48:33.890452,events,5713.49,438378,6733,27,8364.91,211.61,1.46,0.0154,0.85
2020-02-19 13:48:33.890452,events,9668.69,607348,7919,50,12531.43,193.37,1.3,0.013,1.22
2020-02-20 13:48:33.890452,events,8015.16,485386,7529,42,12299.94,190.84,1.53,0.0155,1.06
2020-02-21 13:48:33.890452,events,7829.84,509053,7218,45,11860.58,174.0,1.51,0.0142,1.08
2020-02-22 13:48:33.890452,events,6443.55,392969,5094,32,8584.27,201.36,1.33,0.013,1.26
2020-02-23 13:48:33.890452,events,6487.26,425598,6584,31,9352.09,209.27,1.44,0.0155,0.99
2020-02-24 13:48:33.890452,events,9409.96,534791,9124,43,12780.14,218.84,1.36,0.0171,1.03
2020-02-25 13:48:33.890452,events,7901.09,530550,8074,32,11299.39,246.91,1.43,0.0152,0.98
2020-02-26 13:48:33.890452,events,8732.26,481004,6965,39,15637.82,223.9,1.79,0.0145,1.25
2020-02-27 13:48:33.890452,events,8341.35,431929,6209,40,14138.62,208.53,1.7,0.0144,1.34
2020-02-28 13:48:33.890452,events,7942.6,611608,8345,45,12676.9,176.5,1.6,0.0136,0.95
2020-02-29 13:48:33.890452,events,5384.7,353747,5021,28,8093.99,192.31,1.5,0.0142,1.07
2020-03-01 13:48:33.890452,events,6305.62,333430,5314,32,10425.59,197.05,1.65,0.0159,1.19
