date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2020-01-01,google_pmax,4224.95,302652,4247,124,16378.94,34.07,3.88,0.014,0.99
2020-01-02,google_pmax,2850.81,225466,4041,85,9845.78,33.54,3.45,0.0179,0.71
2020-01-03,google_pmax,3555.45,173416,2140,92,15896.01,38.65,4.47,0.0123,1.66
2020-01-04,google_pmax,1959.17,138965,1991,60,7468.58,32.65,3.81,0.0143,0.98
2020-01-05,google_pmax,2482.21,292943,3957,70,9211.15,35.46,3.71,0.0135,0.63
2020-01-06,google_pmax,2941.19,217421,2892,86,10435.74,34.2,3.55,0.0133,1.02
2020-01-07,google_pmax,3145.8,284072,4195,100,11515.01,31.46,3.66,0.0148,0.75
2020-01-08,google_pmax,2790.51,188669,2604,73,11615.06,38.23,4.16,0.0138,1.07
2020-01-09,google_pmax,3391.55,171194,2685,90,13759.76,37.68,4.06,0.0157,1.26
2020-01-10,google_pmax,3649.3,289404,4142,102,15583.47,35.78,4.27,0.0143,0.88
2020-01-11,google_pmax,2534.07,138465,1781,70,10650.83,36.2,4.2,0.0129,1.42
2020-01-12,google_pmax,2056.61,81827,1290,57,7630.54,36.08,3.71,0.0158,1.59
2020-01-13,google_pmax,3174.88,210390,3191,95,12089.73,33.42,3.81,0.0152,0.99
2020-01-14,google_pmax,2993.52,156291,2403,87,13583.76,34.41,4.54,0.0154,1.25
2020-01-15,google_pmax,2567.96,134382,2163,69,11868.38,37.22,4.62,0.0161,1.19
2020-01-16,google_pmax,3901.91,301127,4648,110,16587.96,35.47,4.25,0.0154,0.84
2020-01-17,google_pmax,3858.37,252305,3698,117,14103.96,32.98,3.66,0.0147,1.04
2020-01-18,google_pmax,2648.41,237931,4016,79,12414.11,33.52,4.69,0.0169,0.66
2020-01-19,google_pmax,2137.23,150126,2002,74,8752.27,28.88,4.1,0.0133,1.07
2020-01-20,google_pmax,2407.89,143712,2167,68,10571.43,35.41,4.39,0.0151,1.11
2020-01-21,google_pmax,3452.4,321532,4724,98,11835.21,35.23,3.43,0.0147,0.73
2020-01-22,google_pmax,3144.45,186998,2726,82,13530.31,38.35,4.3,0.0146,1.15
2020-01-23,google_pmax,2555.64,326207,4484,70,10759.41,36.51,4.21,0.0137,0.57
2020-01-24,google_pmax,2889.98,194146,2850,81,10631.25,35.68,3.68,0.0147,1.01
2020-01-25,google_pmax,2361.19,200795,3126,72,8841.26,32.79,3.74,0.0156,0.76
2020-01-26,google_pmax,2627.01,186893,3232,81,12105.95,32.43,4.61,0.0173,0.81
2020-01-27,google_pmax,2916.5,185225,2787,104,12135.19,28.04,4.16,0.015,1.05
2020-01-28,google_pmax,2917.4,207011,3366,83,11072.97,35.15,3.8,0.0163,0.87
2020-01-29,google_pmax,3318.7,237491,3151,89,12966.98,37.29,3.91,0.0133,1.05
2020-01-30,google_pmax,3051.2,206799,3276,130,11484.44,23.47,3.76,0.0158,0.93
2020-01-31,google_pmax,3101.32,209132,2610,85,9701.2,36.49,3.13,0.0125,1.19
2020-02-01,google_pmax,2109.1,130889,1966,61,9513.12,34.58,4.51,0.015,1.07
