date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-10-31 12:42:11.859065,google_search,5372.54,274541,4021,121,18305.63,44.4,3.41,0.0146,1.34
2025-11-01 12:42:11.859065,google_search,3859.52,283963,4490,74,13298.27,52.16,3.45,0.0158,0.86
2025-11-02 12:42:11.859065,google_search,3721.95,401931,4989,86,12198.42,43.28,3.28,0.0124,0.75
2025-11-03 12:42:11.859065,google_search,4578.28,372948,4804,113,15110.9,40.52,3.3,0.0129,0.95
2025-11-04 12:42:11.859065,google_search,6099.24,568653,8065,138,19649.36,44.2,3.22,0.0142,0.76
2025-11-05 12:42:11.859065,google_search,5083.19,385146,5608,127,16877.33,40.03,3.32,0.0146,0.91
2025-11-06 12:42:11.859065,google_search,4548.72,384609,6243,85,14536.26,53.51,3.2,0.0162,0.73
2025-11-07 12:42:11.859065,google_search,4084.37,370785,5671,88,10508.69,46.41,2.57,0.0153,0.72
2025-11-08 12:42:11.859065,google_search,4443.08,315186,4028,97,14053.43,45.8,3.16,0.0128,1.1
2025-11-09 12:42:11.859065,google_search,3568.09,222576,2750,83,12624.91,42.99,3.54,0.0124,1.3
2025-11-10 12:42:11.859065,google_search,5243.06,311437,5153,121,15642.08,43.33,2.98,0.0165,1.02
2025-11-11 12:42:11.859065,google_search,5698.46,356292,5865,138,17671.22,41.29,3.1,0.0165,0.97
2025-11-12 12:42:11.859065,google_search,4640.62,406665,6595,105,13207.08,44.2,2.85,0.0162,0.7
2025-11-13 12:42:11.859065,google_search,6017.18,374088,5249,134,21187.28,44.9,3.52,0.014,1.15
2025-11-14 12:42:11.859065,google_search,5271.05,267648,2962,101,16806.92,52.19,3.19,0.0111,1.78
2025-11-15 12:42:11.859065,google_search,4493.14,294144,3535,98,13948.14,45.85,3.1,0.012,1.27
2025-11-16 12:42:11.859065,google_search,3868.2,287701,3966,82,14207.6,47.17,3.67,0.0138,0.98
2025-11-17 12:42:11.859065,google_search,4623.68,344775,5437,94,15282.2,49.19,3.31,0.0158,0.85
2025-11-18 12:42:11.859065,google_search,5072.81,361903,5215,102,15093.34,49.73,2.98,0.0144,0.97
2025-11-19 12:42:11.859065,google_search,3902.36,259891,3806,84,12813.56,46.46,3.28,0.0146,1.03
2025-11-20 12:42:11.859065,google_search,3938.47,312746,4615,91,12171.18,43.28,3.09,0.0148,0.85
2025-11-21 12:42:11.859065,google_search,5303.04,336217,5005,99,17265.98,53.57,3.26,0.0149,1.06
2025-11-22 12:42:11.859065,google_search,2848.74,127234,1871,63,9170.86,45.22,3.22,0.0147,1.52
2025-11-23 12:42:11.859065,google_search,4180.93,226873,3658,93,11815.4,44.96,2.83,0.0161,1.14
2025-11-24 12:42:11.859065,google_search,5593.27,518162,8228,136,20409.26,41.13,3.65,0.0159,0.68
2025-11-25 12:42:11.859065,google_search,6642.84,434202,6185,163,20053.31,40.75,3.02,0.0142,1.07
2025-11-26 12:42:11.859065,google_search,3837.0,233667,3182,84,10974.07,45.68,2.86,0.0136,1.21
2025-11-27 12:42:11.859065,google_search,6162.45,353340,4647,148,19084.74,41.64,3.1,0.0132,1.33
2025-11-28 12:42:11.859065,google_search,5170.59,332430,5116,101,13886.18,51.19,2.69,0.0154,1.01
