date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-12-04 00:00:11.240450,google_youtube,3416.77,249943,3417,76,8674.11,44.96,2.54,0.0137,1.0
2025-12-05 00:00:11.240450,google_youtube,3409.2,335574,5774,64,8236.18,53.27,2.42,0.0172,0.59
2025-12-06 00:00:11.240450,google_youtube,2712.08,205723,3649,64,8383.52,42.38,3.09,0.0177,0.74
2025-12-07 00:00:11.240450,google_youtube,3084.73,233995,3770,72,10500.56,42.84,3.4,0.0161,0.82
2025-12-08 00:00:11.240450,google_youtube,3657.13,242257,3360,71,11838.94,51.51,3.24,0.0139,1.09
2025-12-09 00:00:11.240450,google_youtube,3741.49,242802,3508,89,12585.42,42.04,3.36,0.0144,1.07
2025-12-10 00:00:11.240450,google_youtube,3596.96,193371,2710,92,9092.92,39.1,2.53,0.014,1.33
2025-12-11 00:00:11.240450,google_youtube,2950.37,171964,2836,62,9240.56,47.59,3.13,0.0165,1.04
2025-12-12 00:00:11.240450,google_youtube,3102.68,221115,3233,80,9991.8,38.78,3.22,0.0146,0.96
2025-12-13 00:00:11.240450,google_youtube,3357.84,156214,2192,70,9830.58,47.97,2.93,0.014,1.53
2025-12-14 00:00:11.240450,google_youtube,3189.69,162860,2566,70,9171.02,45.57,2.88,0.0158,1.24
2025-12-15 00:00:11.240450,google_youtube,3782.61,303035,4070,75,10204.76,50.43,2.7,0.0134,0.93
2025-12-16 00:00:11.240450,google_youtube,2467.66,172127,2510,45,6147.2,54.84,2.49,0.0146,0.98
2025-12-17 00:00:11.240450,google_youtube,3661.39,276315,4075,75,11134.04,48.82,3.04,0.0147,0.9
2025-12-18 00:00:11.240450,google_youtube,3648.35,221475,3566,83,11857.36,43.96,3.25,0.0161,1.02
2025-12-19 00:00:11.240450,google_youtube,3848.01,346371,5403,76,10969.48,50.63,2.85,0.0156,0.71
2025-12-20 00:00:11.240450,google_youtube,2526.43,134996,2029,59,7488.8,42.82,2.96,0.015,1.25
2025-12-21 00:00:11.240450,google_youtube,2929.71,128467,2035,55,8400.68,53.27,2.87,0.0158,1.44
2025-12-22 00:00:11.240450,google_youtube,2575.6,136497,2185,53,7486.56,48.6,2.91,0.016,1.18
2025-12-23 00:00:11.240450,google_youtube,3427.31,275320,3890,86,9395.88,39.85,2.74,0.0141,0.88
2025-12-24 00:00:11.240450,google_youtube,3809.0,333761,5229,72,11086.14,52.9,2.91,0.0157,0.73
2025-12-25 00:00:11.240450,google_youtube,4128.23,274409,3793,97,11404.14,42.56,2.76,0.0138,1.09
2025-12-26 00:00:11.240450,google_youtube,3840.35,311273,4464,86,11204.09,44.66,2.92,0.0143,0.86
2025-12-27 00:00:11.240450,google_youtube,3103.4,224866,3448,71,10190.17,43.71,3.28,0.0153,0.9
