date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-12-04 00:00:11.240450,linkedin_ads,1776.95,143759,2584,12,2252.36,148.08,1.27,0.018,0.69
2025-12-05 00:00:11.240450,linkedin_ads,1380.53,70211,1143,11,1713.35,125.5,1.24,0.0163,1.21
2025-12-06 00:00:11.240450,linkedin_ads,1274.68,76444,856,10,1536.27,127.47,1.21,0.0112,1.49
2025-12-07 00:00:11.240450,linkedin_ads,1146.61,70958,1042,9,1217.56,127.4,1.06,0.0147,1.1
2025-12-08 00:00:11.240450,linkedin_ads,1894.98,130261,1939,13,2168.06,145.77,1.14,0.0149,0.98
2025-12-09 00:00:11.240450,linkedin_ads,1398.38,120465,1919,11,1550.81,127.13,1.11,0.0159,0.73
2025-12-10 00:00:11.240450,linkedin_ads,1641.64,125265,1926,14,2146.36,117.26,1.31,0.0154,0.85
2025-12-11 00:00:11.240450,linkedin_ads,1684.58,125240,1841,14,2113.42,120.33,1.25,0.0147,0.92
2025-12-12 00:00:11.240450,linkedin_ads,1453.68,140396,2002,13,1713.58,111.82,1.18,0.0143,0.73
2025-12-13 00:00:11.240450,linkedin_ads,1148.72,77539,1218,9,1345.18,127.64,1.17,0.0157,0.94
2025-12-14 00:00:11.240450,linkedin_ads,1357.41,114319,1631,12,1432.91,113.12,1.06,0.0143,0.83
2025-12-15 00:00:11.240450,linkedin_ads,1420.82,104229,1591,12,1484.0,118.4,1.04,0.0153,0.89
2025-12-16 00:00:11.240450,linkedin_ads,1633.88,133706,1999,14,1879.68,116.71,1.15,0.015,0.82
2025-12-17 00:00:11.240450,linkedin_ads,1309.1,94037,1453,10,1290.38,130.91,0.99,0.0155,0.9
2025-12-18 00:00:11.240450,linkedin_ads,1541.36,128577,1910,10,1914.34,154.14,1.24,0.0149,0.81
2025-12-19 00:00:11.240450,linkedin_ads,1100.34,62004,878,9,1210.42,122.26,1.1,0.0142,1.25
2025-12-20 00:00:11.240450,linkedin_ads,1178.98,83995,1490,10,1660.79,117.9,1.41,0.0177,0.79
2025-12-21 00:00:11.240450,linkedin_ads,1346.55,83215,1007,10,1675.44,134.65,1.24,0.0121,1.34
2025-12-22 00:00:11.240450,linkedin_ads,1437.25,133270,1988,11,1716.27,130.66,1.19,0.0149,0.72
2025-12-23 00:00:11.240450,linkedin_ads,1883.42,105488,1524,13,2246.09,144.88,1.19,0.0144,1.24
2025-12-24 00:00:11.240450,linkedin_ads,1116.63,78757,1152,10,1549.37,111.66,1.39,0.0146,0.97
2025-12-25 00:00:11.240450,linkedin_ads,1432.54,66148,976,10,1998.55,143.25,1.4,0.0148,1.47
2025-12-26 00:00:11.240450,linkedin_ads,1566.52,136258,2088,15,2157.46,104.43,1.38,0.0153,0.75
2025-12-27 00:00:11.240450,linkedin_ads,1002.49,76082,1079,8,1102.26,125.31,1.1,0.0142,0.93
2025-12-28 00:00:11.240450,linkedin_ads,1101.31,70319,1183,8,1175.56,137.66,1.07,0.0168,0.93
2025-12-29 00:00:11.240450,linkedin_ads,1384.53,74681,1141,12,1623.14,115.38,1.17,0.0153,1.21
2025-12-30 00:00:11.240450,linkedin_ads,1380.48,80994,1264,10,1473.97,138.05,1.07,0.0156,1.09
2025-12-31 00:00:11.240450,linkedin_ads,1430.74,86166,1451,13,1564.66,110.06,1.09,0.0168,0.99
2026-01-01 00:00:11.240450,linkedin_ads,1356.61,102415,1531,10,1288.17,135.66,0.95,0.0149,0.89
2026-01-02 00:00:11.240450,linkedin_ads,1295.32,81586,1200,11,1450.59,117.76,1.12,0.0147,1.08
2026-01-03 00:00:11.240450,linkedin_ads,797.12,48684,529,8,898.49,99.64,1.13,0.0109,1.51
2026-01-04 00:00:11.240450,linkedin_ads,1110.05,80177,1248,9,1516.99,123.34,1.37,0.0156,0.89
2026-01-05 00:00:11.240450,linkedin_ads,1531.78,97901,1543,16,1979.35,95.74,1.29,0.0158,0.99
2026-01-06 00:00:11.240450,linkedin_ads,2383.4,168585,2601,25,3353.36,95.34,1.41,0.0154,0.92
