date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-12-04 00:00:11.240450,meta_ads,5881.87,450718,6874,208,16673.87,28.28,2.83,0.0153,0.86
2025-12-05 00:00:11.240450,meta_ads,6397.75,435095,6538,256,21171.23,24.99,3.31,0.015,0.98
2025-12-06 00:00:11.240450,meta_ads,5309.91,334770,4714,185,16866.46,28.7,3.18,0.0141,1.13
2025-12-07 00:00:11.240450,meta_ads,5060.28,339609,4988,204,14834.13,24.81,2.93,0.0147,1.01
2025-12-08 00:00:11.240450,meta_ads,5884.32,385136,5869,258,16128.14,22.81,2.74,0.0152,1.0
2025-12-09 00:00:11.240450,meta_ads,5075.09,283392,4432,160,13442.95,31.72,2.65,0.0156,1.15
2025-12-10 00:00:11.240450,meta_ads,5418.4,305133,5034,164,13837.74,33.04,2.55,0.0165,1.08
2025-12-11 00:00:11.240450,meta_ads,5396.44,340124,5234,169,15258.37,31.93,2.83,0.0154,1.03
2025-12-12 00:00:11.240450,meta_ads,5879.12,602714,10219,194,18402.31,30.3,3.13,0.017,0.58
2025-12-13 00:00:11.240450,meta_ads,3603.01,307237,4419,116,11625.98,31.06,3.23,0.0144,0.82
2025-12-14 00:00:11.240450,meta_ads,4003.89,230918,3917,146,11253.62,27.42,2.81,0.017,1.02
2025-12-15 00:00:11.240450,meta_ads,7256.12,729280,10057,274,20602.47,26.48,2.84,0.0138,0.72
2025-12-16 00:00:11.240450,meta_ads,6868.37,519441,7771,211,17459.65,32.55,2.54,0.015,0.88
2025-12-17 00:00:11.240450,meta_ads,6252.15,460445,6896,242,18900.1,25.84,3.02,0.015,0.91
2025-12-18 00:00:11.240450,meta_ads,6491.66,442477,6578,231,18004.27,28.1,2.77,0.0149,0.99
2025-12-19 00:00:11.240450,meta_ads,5666.99,339691,4944,207,19061.53,27.38,3.36,0.0146,1.15
2025-12-20 00:00:11.240450,meta_ads,5301.81,329122,4883,195,17178.95,27.19,3.24,0.0148,1.09
2025-12-21 00:00:11.240450,meta_ads,5122.36,448612,6825,217,13181.04,23.61,2.57,0.0152,0.75
2025-12-22 00:00:11.240450,meta_ads,7559.26,458066,5633,220,23320.59,34.36,3.09,0.0123,1.34
2025-12-23 00:00:11.240450,meta_ads,5511.59,380226,5434,213,14991.28,25.88,2.72,0.0143,1.01
2025-12-24 00:00:11.240450,meta_ads,4218.63,268399,4861,140,10921.63,30.13,2.59,0.0181,0.87
2025-12-25 00:00:11.240450,meta_ads,5172.55,282608,5069,247,14571.39,20.94,2.82,0.0179,1.02
2025-12-26 00:00:11.240450,meta_ads,4893.41,333289,6321,166,13530.56,29.48,2.77,0.019,0.77
2025-12-27 00:00:11.240450,meta_ads,3717.86,203636,3084,129,11286.06,28.82,3.04,0.0151,1.21
2025-12-28 00:00:11.240450,meta_ads,5021.8,359459,5727,186,14955.14,27.0,2.98,0.0159,0.88
2025-12-29 00:00:11.240450,meta_ads,5667.35,308374,4601,195,16387.22,29.06,2.89,0.0149,1.23
2025-12-30 00:00:11.240450,meta_ads,4404.27,337784,4764,139,11615.55,31.69,2.64,0.0141,0.92
2025-12-31 00:00:11.240450,meta_ads,7236.99,398333,6108,328,27572.57,22.06,3.81,0.0153,1.18
2026-01-01 00:00:11.240450,meta_ads,5950.6,351365,5563,206,18156.01,28.89,3.05,0.0158,1.07
2026-01-02 00:00:11.240450,meta_ads,6080.62,421818,7044,221,17367.05,27.51,2.86,0.0167,0.86
