date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-10-31 12:42:11.859065,ooh,3978.05,311863,3757,18,4852.9,221.0,1.22,0.012,1.06
2025-11-01 12:42:11.859065,ooh,3189.8,227518,3455,15,3596.3,212.65,1.13,0.0152,0.92
2025-11-02 12:42:11.859065,ooh,3927.41,290932,4289,18,4158.85,218.19,1.06,0.0147,0.92
2025-11-03 12:42:11.859065,ooh,4982.04,367595,6119,25,5469.4,199.28,1.1,0.0166,0.81
2025-11-04 12:42:11.859065,ooh,5175.9,342540,3913,24,5740.62,215.66,1.11,0.0114,1.32
2025-11-05 12:42:11.859065,ooh,4447.09,345657,4985,21,5101.34,211.77,1.15,0.0144,0.89
2025-11-06 12:42:11.859065,ooh,3753.39,176646,2763,17,3972.34,220.79,1.06,0.0156,1.36
2025-11-07 12:42:11.859065,ooh,3234.59,384299,6686,16,3326.18,202.16,1.03,0.0174,0.48
2025-11-08 12:42:11.859065,ooh,3537.51,325919,4652,16,3955.62,221.09,1.12,0.0143,0.76
2025-11-09 12:42:11.859065,ooh,3604.05,251702,3722,20,2960.75,180.2,0.82,0.0148,0.97
2025-11-10 12:42:11.859065,ooh,4081.34,258700,4344,19,4775.72,214.81,1.17,0.0168,0.94
2025-11-11 12:42:11.859065,ooh,3088.62,273781,3489,14,3610.35,220.62,1.17,0.0127,0.89
2025-11-12 12:42:11.859065,ooh,3552.43,270016,3703,19,4202.09,186.97,1.18,0.0137,0.96
2025-11-13 12:42:11.859065,ooh,3633.02,251207,3726,16,4001.53,227.06,1.1,0.0148,0.98
2025-11-14 12:42:11.859065,ooh,4775.24,305488,4508,25,5943.76,191.01,1.24,0.0148,1.06
2025-11-15 12:42:11.859065,ooh,4400.43,389325,6396,24,4669.27,183.35,1.06,0.0164,0.69
2025-11-16 12:42:11.859065,ooh,4010.81,278390,4023,17,4951.88,235.93,1.23,0.0145,1.0
2025-11-17 12:42:11.859065,ooh,2997.3,221625,3765,12,3451.65,249.77,1.15,0.017,0.8
2025-11-18 12:42:11.859065,ooh,3416.34,201958,3010,16,3693.1,213.52,1.08,0.0149,1.13
2025-11-19 12:42:11.859065,ooh,3129.44,209855,3391,15,3803.45,208.63,1.22,0.0162,0.92
2025-11-20 12:42:11.859065,ooh,3372.68,195620,2943,16,3478.26,210.79,1.03,0.015,1.15
2025-11-21 12:42:11.859065,ooh,4414.04,279028,3767,19,5191.26,232.32,1.18,0.0135,1.17
2025-11-22 12:42:11.859065,ooh,3198.66,230511,3118,16,3397.47,199.92,1.06,0.0135,1.03
2025-11-23 12:42:11.859065,ooh,2260.48,206333,3099,12,2534.61,188.37,1.12,0.015,0.73
2025-11-24 12:42:11.859065,ooh,5140.16,317816,5323,23,6583.46,223.49,1.28,0.0167,0.97
2025-11-25 12:42:11.859065,ooh,3565.62,192129,3325,19,2847.84,187.66,0.8,0.0173,1.07
2025-11-26 12:42:11.859065,ooh,3668.09,227155,3790,18,3730.73,203.78,1.02,0.0167,0.97
2025-11-27 12:42:11.859065,ooh,2954.34,192588,3021,14,3159.86,211.02,1.07,0.0157,0.98
2025-11-28 12:42:11.859065,ooh,3887.08,217022,3391,19,4184.34,204.58,1.08,0.0156,1.15
2025-11-29 12:42:11.859065,ooh,3305.88,186815,2812,18,3498.8,183.66,1.06,0.0151,1.18
2025-11-30 12:42:11.859065,ooh,3516.58,230150,3275,14,4269.99,251.18,1.21,0.0142,1.07
2025-12-01 12:42:11.859065,ooh,2467.87,152609,2253,12,2626.16,205.66,1.06,0.0148,1.1
2025-12-02 12:42:11.859065,ooh,3807.77,231757,4072,23,3794.84,165.56,1.0,0.0176,0.94
2025-12-03 12:42:11.859065,ooh,3941.48,313629,4877,19,4748.59,207.45,1.2,0.0156,0.81
2025-12-04 12:42:11.859065,ooh,3555.71,223694,3092,16,3970.49,222.23,1.12,0.0138,1.15
2025-12-05 12:42:11.859065,ooh,4424.22,316451,4856,18,4376.13,245.79,0.99,0.0153,0.91
2025-12-06 12:42:11.859065,ooh,3577.47,187522,3026,18,2820.36,198.75,0.79,0.0161,1.18
2025-12-07 12:42:11.859065,ooh,2363.39,122180,2004,12,3007.41,196.95,1.27,0.0164,1.18
2025-12-08 12:42:11.859065,ooh,3894.33,211824,2899,19,4227.68,204.96,1.09,0.0137,1.34
2025-12-09 12:42:11.859065,ooh,3516.52,183770,2571,15,3851.01,234.43,1.1,0.014,1.37
2025-12-10 12:42:11.859065,ooh,3967.13,375520,5358,21,4367.06,188.91,1.1,0.0143,0.74
2025-12-11 12:42:11.859065,ooh,3138.25,319928,5439,14,3699.44,224.16,1.18,0.017,0.58
2025-12-12 12:42:11.859065,ooh,5498.45,234245,3050,27,5660.53,203.65,1.03,0.013,1.8
2025-12-13 12:42:11.859065,ooh,3209.65,199614,2844,15,4005.54,213.98,1.25,0.0142,1.13
2025-12-14 12:42:11.859065,ooh,2743.43,181162,2564,14,2713.91,195.96,0.99,0.0142,1.07
2025-12-15 12:42:11.859065,ooh,3103.58,277214,4088,13,3244.03,238.74,1.05,0.0147,0.76
2025-12-16 12:42:11.859065,ooh,4041.02,340769,5986,24,4592.55,168.38,1.14,0.0176,0.68
2025-12-17 12:42:11.859065,ooh,4314.38,293792,4676,22,4392.17,196.11,1.02,0.0159,0.92
2025-12-18 12:42:11.859065,ooh,3984.7,302136,4376,20,4408.76,199.24,1.11,0.0145,0.91
