date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-10-31 12:42:11.859065,podcast,2402.9,127655,1881,44,5877.87,54.61,2.45,0.0147,1.28
2025-11-01 12:42:11.859065,podcast,2329.55,131466,1986,40,5158.06,58.24,2.21,0.0151,1.17
2025-11-02 12:42:11.859065,podcast,2617.34,179019,2803,55,5461.51,47.59,2.09,0.0157,0.93
2025-11-03 12:42:11.859065,podcast,2975.49,169760,2738,54,5615.07,55.1,1.89,0.0161,1.09
2025-11-04 12:42:11.859065,podcast,1771.8,136229,1858,32,3278.13,55.37,1.85,0.0136,0.95
2025-11-05 12:42:11.859065,podcast,2803.47,158925,2042,50,5374.74,56.07,1.92,0.0128,1.37
2025-11-06 12:42:11.859065,podcast,2623.79,158894,2507,51,5561.26,51.45,2.12,0.0158,1.05
2025-11-07 12:42:11.859065,podcast,3001.36,219289,3349,55,6805.35,54.57,2.27,0.0153,0.9
2025-11-08 12:42:11.859065,podcast,2131.85,133286,2072,39,3844.09,54.66,1.8,0.0155,1.03
2025-11-09 12:42:11.859065,podcast,1795.95,109014,1597,37,4534.22,48.54,2.52,0.0146,1.12
2025-11-10 12:42:11.859065,podcast,2073.61,134536,1906,41,5156.18,50.58,2.49,0.0142,1.09
2025-11-11 12:42:11.859065,podcast,2691.13,141204,2019,53,6809.07,50.78,2.53,0.0143,1.33
2025-11-12 12:42:11.859065,podcast,2264.25,206185,3134,55,4243.32,41.17,1.87,0.0152,0.72
2025-11-13 12:42:11.859065,podcast,2377.66,143961,2273,49,5083.78,48.52,2.14,0.0158,1.05
2025-11-14 12:42:11.859065,podcast,1787.62,100966,1633,32,3388.74,55.86,1.9,0.0162,1.09
2025-11-15 12:42:11.859065,podcast,1730.59,209982,3255,34,3631.68,50.9,2.1,0.0155,0.53
2025-11-16 12:42:11.859065,podcast,1918.15,145948,1859,31,3756.4,61.88,1.96,0.0127,1.03
2025-11-17 12:42:11.859065,podcast,2123.39,164537,2498,43,5136.73,49.38,2.42,0.0152,0.85
2025-11-18 12:42:11.859065,podcast,2357.21,140332,1850,49,5098.59,48.11,2.16,0.0132,1.27
2025-11-19 12:42:11.859065,podcast,2803.42,168961,2366,55,5869.64,50.97,2.09,0.014,1.18
2025-11-20 12:42:11.859065,podcast,2514.09,319949,3921,47,5602.55,53.49,2.23,0.0123,0.64
2025-11-21 12:42:11.859065,podcast,2730.99,191407,2955,44,5461.14,62.07,2.0,0.0154,0.92
2025-11-22 12:42:11.859065,podcast,2207.97,157686,2531,50,4427.13,44.16,2.01,0.0161,0.87
2025-11-23 12:42:11.859065,podcast,2749.53,169652,2880,51,5197.89,53.91,1.89,0.017,0.95
2025-11-24 12:42:11.859065,podcast,2540.51,149523,2012,50,6124.55,50.81,2.41,0.0135,1.26
2025-11-25 12:42:11.859065,podcast,2643.03,178575,2582,43,6501.91,61.47,2.46,0.0145,1.02
2025-11-26 12:42:11.859065,podcast,2960.23,271831,4511,61,6798.13,48.53,2.3,0.0166,0.66
2025-11-27 12:42:11.859065,podcast,2403.23,212105,3634,38,5546.93,63.24,2.31,0.0171,0.66
2025-11-28 12:42:11.859065,podcast,3081.72,218841,3330,51,6263.44,60.43,2.03,0.0152,0.93
2025-11-29 12:42:11.859065,podcast,1788.89,259636,4026,27,3992.35,66.26,2.23,0.0155,0.44
2025-11-30 12:42:11.859065,podcast,1895.55,108807,1814,34,4016.49,55.75,2.12,0.0167,1.04
2025-12-01 12:42:11.859065,podcast,2606.14,173064,2387,49,5709.82,53.19,2.19,0.0138,1.09
2025-12-02 12:42:11.859065,podcast,2717.1,144787,2022,47,6898.43,57.81,2.54,0.014,1.34
2025-12-03 12:42:11.859065,podcast,2807.61,208741,2810,56,6606.61,50.14,2.35,0.0135,1.0
2025-12-04 12:42:11.859065,podcast,2605.02,180059,2723,64,4727.55,40.7,1.81,0.0151,0.96
2025-12-05 12:42:11.859065,podcast,2361.51,146009,2317,50,4770.39,47.23,2.02,0.0159,1.02
2025-12-06 12:42:11.859065,podcast,1995.13,156387,2280,32,4563.72,62.35,2.29,0.0146,0.88
2025-12-07 12:42:11.859065,podcast,1579.14,92586,1583,29,3860.46,54.45,2.44,0.0171,1.0
2025-12-08 12:42:11.859065,podcast,2386.42,122917,1839,38,5148.63,62.8,2.16,0.015,1.3
2025-12-09 12:42:11.859065,podcast,2765.21,176632,2990,43,5965.79,64.31,2.16,0.0169,0.92
2025-12-10 12:42:11.859065,podcast,2450.12,180279,2747,51,6545.41,48.04,2.67,0.0152,0.89
2025-12-11 12:42:11.859065,podcast,2933.5,186121,2291,56,5803.26,52.38,1.98,0.0123,1.28
2025-12-12 12:42:11.859065,podcast,2392.04,230676,4011,42,5120.42,56.95,2.14,0.0174,0.6
2025-12-13 12:42:11.859065,podcast,2031.06,164325,2531,32,4352.14,63.47,2.14,0.0154,0.8
2025-12-14 12:42:11.859065,podcast,1935.26,147356,1803,39,4883.35,49.62,2.52,0.0122,1.07
2025-12-15 12:42:11.859065,podcast,2998.06,308956,5441,57,6194.83,52.6,2.07,0.0176,0.55
2025-12-16 12:42:11.859065,podcast,2016.44,123973,1848,36,4841.03,56.01,2.4,0.0149,1.09
2025-12-17 12:42:11.859065,podcast,1861.88,147318,2254,36,4173.05,51.72,2.24,0.0153,0.83
2025-12-18 12:42:11.859065,podcast,2755.65,127636,2061,45,5319.07,61.24,1.93,0.0161,1.34
2025-12-19 12:42:11.859065,podcast,2499.36,233938,3430,40,6799.23,62.48,2.72,0.0147,0.73
2025-12-20 12:42:11.859065,podcast,1286.47,86441,1211,22,2933.65,58.48,2.28,0.014,1.06
2025-12-21 12:42:11.859065,podcast,1385.15,104721,1639,24,3490.84,57.71,2.52,0.0157,0.85
2025-12-22 12:42:11.859065,podcast,1911.95,150395,2084,33,4040.81,57.94,2.11,0.0139,0.92
2025-12-23 12:42:11.859065,podcast,2352.4,170356,2544,41,4496.19,57.38,1.91,0.0149,0.92
2025-12-24 12:42:11.859065,podcast,2087.86,160707,2174,32,4201.26,65.25,2.01,0.0135,0.96
2025-12-25 12:42:11.859065,podcast,3174.43,173289,2651,54,6329.65,58.79,1.99,0.0153,1.2
2025-12-26 12:42:11.859065,podcast,2596.47,162144,2299,48,5284.15,54.09,2.04,0.0142,1.13
2025-12-27 12:42:11.859065,podcast,2545.03,173531,2680,53,6459.16,48.02,2.54,0.0154,0.95
2025-12-28 12:42:11.859065,podcast,2249.95,327152,4553,43,5377.68,52.32,2.39,0.0139,0.49
2025-12-29 12:42:11.859065,podcast,2153.48,133282,2139,44,4635.81,48.94,2.15,0.016,1.01
2025-12-30 12:42:11.859065,podcast,2590.33,168500,2764,50,5909.02,51.81,2.28,0.0164,0.94
2025-12-31 12:42:11.859065,podcast,2791.35,214041,3034,50,5589.97,55.83,2.0,0.0142,0.92
2026-01-01 12:42:11.859065,podcast,2381.78,160425,2410,42,5614.65,56.71,2.36,0.015,0.99
2026-01-02 12:42:11.859065,podcast,2553.74,262361,3661,48,5098.32,53.2,2.0,0.014,0.7
2026-01-03 12:42:11.859065,podcast,2141.94,130611,2061,41,4600.21,52.24,2.15,0.0158,1.04
2026-01-04 12:42:11.859065,podcast,1676.14,144364,1987,27,4103.22,62.08,2.45,0.0138,0.84
2026-01-05 12:42:11.859065,podcast,2946.66,272814,3990,54,5043.65,54.57,1.71,0.0146,0.74
2026-01-06 12:42:11.859065,podcast,2063.86,106457,1550,39,4555.2,52.92,2.21,0.0146,1.33
2026-01-07 12:42:11.859065,podcast,2902.2,183055,2206,46,7300.63,63.09,2.52,0.0121,1.32
2026-01-08 12:42:11.859065,podcast,2672.81,132096,2151,43,5832.51,62.16,2.18,0.0163,1.24
2026-01-09 12:42:11.859065,podcast,2713.1,360709,5140,44,6167.81,61.66,2.27,0.0142,0.53
2026-01-10 12:42:11.859065,podcast,2359.15,198824,3514,46,5074.15,51.29,2.15,0.0177,0.67
2026-01-11 12:42:11.859065,podcast,2504.45,193266,3077,49,5590.94,51.11,2.23,0.0159,0.81
2026-01-12 12:42:11.859065,podcast,2691.13,113043,1521,45,6117.0,59.8,2.27,0.0135,1.77
2026-01-13 12:42:11.859065,podcast,1858.52,176621,2384,35,3447.64,53.1,1.86,0.0135,0.78
2026-01-14 12:42:11.859065,podcast,2154.18,159788,2353,43,4984.79,50.1,2.31,0.0147,0.92
2026-01-15 12:42:11.859065,podcast,2835.34,176137,2129,55,6072.73,51.55,2.14,0.0121,1.33
2026-01-16 12:42:11.859065,podcast,1605.66,75764,1154,28,3706.25,57.35,2.31,0.0152,1.39
2026-01-17 12:42:11.859065,podcast,2245.92,112286,1326,41,5087.89,54.78,2.27,0.0118,1.69
2026-01-18 12:42:11.859065,podcast,2124.08,106461,1496,31,4804.78,68.52,2.26,0.0141,1.42
2026-01-19 12:42:11.859065,podcast,2487.98,216431,2890,45,4259.75,55.29,1.71,0.0134,0.86
2026-01-20 12:42:11.859065,podcast,2808.27,160727,2371,46,6378.4,61.05,2.27,0.0148,1.18
2026-01-21 12:42:11.859065,podcast,2950.72,207750,3329,53,6529.16,55.67,2.21,0.016,0.89
