date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc,ivt_rate,suspicious_click_pct,geo_anomaly_score,new_domain_pct
2020-01-01,programmatic,1888.18,134332,2232,35,3299.97,53.95,1.75,0.0166,0.85,0.023,0.0284,0.096,0.0349
2020-01-02,programmatic,2430.3,168256,2750,56,3689.1,43.4,1.52,0.0163,0.88,0.0478,0.01,0.051,0.0652
2020-01-03,programmatic,2270.69,139405,2096,43,3046.46,52.81,1.34,0.015,1.08,0.0291,0.036,0.094,0.0676
2020-01-04,programmatic,1767.31,114576,1684,35,2573.46,50.49,1.46,0.0147,1.05,0.0405,0.0238,0.129,0.0539
2020-01-05,programmatic,1539.22,109563,1149,35,2194.7,43.98,1.43,0.0105,1.34,0.0398,0.0118,0.081,0.0442
2020-01-06,programmatic,2410.91,166433,2292,39,3865.88,61.82,1.6,0.0138,1.05,0.0279,0.01,0.067,0.0963
2020-01-07,programmatic,1792.24,158674,2609,32,2802.73,56.01,1.56,0.0164,0.69,0.0485,0.0358,0.097,0.0608
2020-01-08,programmatic,2708.47,171971,2722,58,3944.11,46.7,1.46,0.0158,1.0,0.029,0.0265,0.034,0.0812
2020-01-09,programmatic,2011.18,109705,1771,38,3034.63,52.93,1.51,0.0161,1.14,0.0496,0.0496,0.0,0.0584
2020-01-10,programmatic,2427.99,174960,2369,44,3092.23,55.18,1.27,0.0135,1.02,0.0358,0.0542,0.081,0.0413
2020-01-11,programmatic,1655.46,92699,1494,35,2169.62,47.3,1.31,0.0161,1.11,0.0444,0.0181,0.125,0.08
2020-01-12,programmatic,1642.04,110544,1883,42,2338.64,39.1,1.42,0.017,0.87,0.0326,0.0117,0.0,0.0246
2020-01-13,programmatic,2205.66,132026,2140,40,3141.47,55.14,1.42,0.0162,1.03,0.0338,0.0382,0.078,0.0397
2020-01-14,programmatic,2619.4,156274,1973,57,3786.25,45.95,1.45,0.0126,1.33,0.0397,0.0229,0.197,0.0593
2020-01-15,programmatic,2696.63,201212,2811,61,3498.14,44.21,1.3,0.014,0.96,0.0349,0.0227,0.04,0.0664
2020-01-16,programmatic,2477.61,205594,3456,48,3742.55,51.62,1.51,0.0168,0.72,0.0397,0.0296,0.04,0.0273
2020-01-17,programmatic,2435.99,146699,2074,44,2815.93,55.36,1.16,0.0141,1.17,0.0607,0.0188,0.192,0.0329
2020-01-18,programmatic,2016.17,114719,1617,34,2670.96,59.3,1.32,0.0141,1.25,0.0391,0.01,0.031,0.0374
2020-01-19,programmatic,1302.38,61048,943,23,2309.0,56.63,1.77,0.0154,1.38,0.0457,0.0305,0.085,0.0499
2020-01-20,programmatic,1891.77,103438,1547,38,2806.66,49.78,1.48,0.015,1.22,0.0408,0.0227,0.101,0.0206
2020-01-21,programmatic,1663.61,93926,1443,31,2513.35,53.66,1.51,0.0154,1.15,0.0301,0.021,0.098,0.0336
2020-01-22,programmatic,2666.31,217915,3384,53,4112.89,50.31,1.54,0.0155,0.79,0.0179,0.0176,0.11,0.0213
2020-01-23,programmatic,2350.23,122423,1881,44,3108.52,53.41,1.32,0.0154,1.25,0.0505,0.0356,0.124,0.0318
2020-01-24,programmatic,2705.83,327405,4858,54,4303.59,50.11,1.59,0.0148,0.56,0.0447,0.0262,0.077,0.0499
2020-01-25,programmatic,1598.44,156693,2524,33,2639.98,48.44,1.65,0.0161,0.63,0.0364,0.0323,0.117,0.0429
2020-01-26,programmatic,1940.38,115715,1779,34,2307.01,57.07,1.19,0.0154,1.09,0.0301,0.0261,0.132,0.0873
2020-01-27,programmatic,2401.21,156171,2582,41,2842.54,58.57,1.18,0.0165,0.93,0.0338,0.0227,0.072,0.0522
2020-01-28,programmatic,1830.96,212645,3539,34,2835.81,53.85,1.55,0.0166,0.52,0.0513,0.0293,0.168,0.0568
2020-01-29,programmatic,2098.09,131961,2179,36,3327.8,58.28,1.59,0.0165,0.96,0.0467,0.0121,0.137,0.0593
2020-01-30,programmatic,2747.9,188603,2525,68,3419.1,40.41,1.24,0.0134,1.09,0.01,0.0286,0.008,0.0402
2020-01-31,programmatic,3027.04,180727,3373,67,4582.36,45.18,1.51,0.0187,0.9,0.0512,0.04,0.124,0.073
2020-02-01,programmatic,2265.06,132498,2111,48,3575.88,47.19,1.58,0.0159,1.07,0.0336,0.0303,0.045,0.0425
2020-02-02,programmatic,1648.38,96732,1322,27,2169.89,61.05,1.32,0.0137,1.25,0.0516,0.0133,0.071,0.1
2020-02-03,programmatic,2728.75,360208,5881,55,3559.99,49.61,1.3,0.0163,0.46,0.0287,0.0249,0.023,0.0392
2020-02-04,programmatic,2362.17,140010,1491,46,4181.11,51.35,1.77,0.0106,1.58,0.0494,0.0134,0.178,0.0634
2020-02-05,programmatic,2105.5,148408,2794,51,2894.95,41.28,1.37,0.0188,0.75,0.0369,0.0185,0.11,0.052
2020-02-06,programmatic,2969.73,180802,2236,57,4652.3,52.1,1.57,0.0124,1.33,0.0308,0.0303,0.159,0.031
2020-02-07,programmatic,2035.37,127956,2227,38,3054.57,53.56,1.5,0.0174,0.91,0.0353,0.0145,0.034,0.0151
2020-02-08,programmatic,1735.39,175404,2243,36,2667.33,48.21,1.54,0.0128,0.77,0.0417,0.0305,0.094,0.0539
2020-02-09,programmatic,2333.07,148378,1854,48,3328.03,48.61,1.43,0.0125,1.26,0.0397,0.0205,0.124,0.0814
2020-02-10,programmatic,2464.65,284318,3923,52,3832.8,47.4,1.56,0.0138,0.63,0.0365,0.0284,0.093,0.0673
2020-02-11,programmatic,2405.84,190360,3733,50,3988.26,48.12,1.66,0.0196,0.64,0.0448,0.0402,0.106,0.0744
2020-02-12,programmatic,2874.86,167341,2432,60,4572.98,47.91,1.59,0.0145,1.18,0.0468,0.0352,0.037,0.0475
2020-02-13,programmatic,3032.83,206522,3187,67,4815.97,45.27,1.59,0.0154,0.95,0.0393,0.0277,0.085,0.0494
2020-02-14,programmatic,2675.66,202014,2790,53,4806.78,50.48,1.8,0.0138,0.96,0.052,0.0334,0.097,0.0621
2020-02-15,programmatic,1915.04,129521,1834,33,2883.51,58.03,1.51,0.0142,1.04,0.0563,0.0276,0.088,0.0645
2020-02-16,programmatic,1799.76,114170,1593,32,2682.82,56.24,1.49,0.014,1.13,0.0331,0.0289,0.066,0.0322
2020-02-17,programmatic,2891.15,235182,3229,51,3934.45,56.69,1.36,0.0137,0.9,0.0404,0.0432,0.108,0.0235
2020-02-18,programmatic,2992.64,248422,4356,66,4334.51,45.34,1.45,0.0175,0.69,0.0347,0.0304,0.212,0.0324
2020-02-19,programmatic,2384.44,176370,2856,40,3567.18,59.61,1.5,0.0162,0.83,0.0351,0.0192,0.049,0.0169
2020-02-20,programmatic,2576.65,188837,2703,45,3781.29,57.26,1.47,0.0143,0.95,0.0453,0.0148,0.035,0.0492
2020-02-21,programmatic,3076.1,287661,4406,60,4273.86,51.27,1.39,0.0153,0.7,0.0391,0.0322,0.171,0.0545
2020-02-22,programmatic,1671.46,147881,1821,40,2780.15,41.79,1.66,0.0123,0.92,0.0362,0.0196,0.088,0.0427
2020-02-23,programmatic,1905.7,121715,1771,39,2608.91,48.86,1.37,0.0146,1.08,0.037,0.0224,0.141,0.0754
2020-02-24,programmatic,3451.39,217060,3380,70,4518.28,49.31,1.31,0.0156,1.02,0.0466,0.0387,0.098,0.0454
2020-02-25,programmatic,2465.65,219899,3589,59,4270.48,41.79,1.73,0.0163,0.69,0.0285,0.0321,0.0,0.0182
2020-02-26,programmatic,3077.18,171897,2301,63,5021.75,48.84,1.63,0.0134,1.34,0.0342,0.024,0.134,0.0465
2020-02-27,programmatic,3171.01,203341,2879,61,3726.94,51.98,1.18,0.0142,1.1,0.0426,0.0332,0.048,0.0208
2020-02-28,programmatic,2772.43,233119,3575,59,3895.04,46.99,1.4,0.0153,0.78,0.0479,0.0165,0.13,0.0402
2020-02-29,programmatic,2101.73,137458,2279,42,3059.89,50.04,1.46,0.0166,0.92,0.0381,0.0577,0.062,0.0567
2020-03-01,programmatic,1936.45,192055,2588,44,2555.9,44.01,1.32,0.0135,0.75,0.0366,0.0188,0.065,0.0573
2020-03-02,programmatic,3584.0,210827,3166,86,5240.96,41.67,1.46,0.015,1.13,0.0653,0.0226,0.07,0.0424
2020-03-03,programmatic,3461.77,250296,3962,73,4936.77,47.42,1.43,0.0158,0.87,0.0389,0.0335,0.15,0.0465
2020-03-04,programmatic,4316.18,356396,6276,86,6321.16,50.19,1.46,0.0176,0.69,0.0288,0.0393,0.161,0.0347
2020-03-05,programmatic,2885.4,140973,1995,61,4237.23,47.3,1.47,0.0142,1.45,0.044,0.0189,0.186,0.0467
2020-03-06,programmatic,3052.54,215862,3533,81,5027.67,37.69,1.65,0.0164,0.86,0.0383,0.0313,0.066,0.0611
2020-03-07,programmatic,2517.4,165726,2152,49,3606.22,51.38,1.43,0.013,1.17,0.024,0.0251,0.112,0.0593
2020-03-08,programmatic,2377.09,157337,2217,45,3594.86,52.82,1.51,0.0141,1.07,0.0324,0.015,0.068,0.038
2020-03-09,programmatic,2993.21,141226,2137,67,4244.87,44.67,1.42,0.0151,1.4,0.0551,0.0203,0.041,0.0488
2020-03-10,programmatic,3291.45,213685,3128,66,4969.56,49.87,1.51,0.0146,1.05,0.049,0.0244,0.127,0.0687
2020-03-11,programmatic,3342.17,214376,3575,71,4269.68,47.07,1.28,0.0167,0.93,0.0433,0.031,0.119,0.0655
2020-03-12,programmatic,2771.05,140800,2505,51,4436.08,54.33,1.6,0.0178,1.11,0.0442,0.0242,0.062,0.0459
2020-03-13,programmatic,3338.26,186187,3108,67,4198.01,49.82,1.26,0.0167,1.07,0.0327,0.0268,0.092,0.048
2020-03-14,programmatic,2215.02,167737,2183,42,2981.42,52.74,1.35,0.013,1.01,0.046,0.0168,0.108,0.0573
2020-03-15,programmatic,1678.42,106876,1659,43,2832.25,39.03,1.69,0.0155,1.01,0.032,0.0288,0.103,0.0553
2020-03-16,programmatic,2155.47,148805,2298,46,3702.77,46.86,1.72,0.0154,0.94,0.0337,0.0156,0.138,0.0649
2020-03-17,programmatic,2609.26,187045,3218,73,4032.09,35.74,1.55,0.0172,0.81,0.0491,0.0392,0.072,0.0713
2020-03-18,programmatic,2324.54,120999,1976,70,3341.85,33.21,1.44,0.0163,1.18,0.0352,0.0373,0.088,0.0534
2020-03-19,programmatic,1817.05,122468,1789,50,2746.87,36.34,1.51,0.0146,1.02,0.0651,0.0261,0.199,0.0806
2020-03-20,programmatic,2024.22,145599,2040,53,3721.16,38.19,1.84,0.014,0.99,0.0381,0.054,0.087,0.0554
2020-03-21,programmatic,1739.1,122043,1819,43,2368.25,40.44,1.36,0.0149,0.96,0.0376,0.029,0.036,0.0273
2020-03-22,programmatic,1721.31,102299,1671,41,2319.77,41.98,1.35,0.0163,1.03,0.0582,0.0407,0.066,0.0566
2020-03-23,programmatic,1808.58,115500,1777,49,2665.25,36.91,1.47,0.0154,1.02,0.0358,0.0431,0.071,0.057
2020-03-24,programmatic,2143.48,178250,3034,62,3540.62,34.57,1.65,0.017,0.71,0.0314,0.0293,0.087,0.0513
2020-03-25,programmatic,2535.92,132887,2110,71,3937.95,35.72,1.55,0.0159,1.2,0.0608,0.0185,0.033,0.0614
2020-03-26,programmatic,1608.96,80275,1187,40,2614.66,40.22,1.63,0.0148,1.36,0.0532,0.0282,0.174,0.0307
2020-03-27,programmatic,1619.67,83775,1224,33,2399.75,49.08,1.48,0.0146,1.32,0.0475,0.0236,0.153,0.0428
2020-03-28,programmatic,1753.65,85841,1408,47,2455.27,37.31,1.4,0.0164,1.25,0.0318,0.0354,0.15,0.0358
2020-03-29,programmatic,1613.78,107551,1629,36,2256.57,44.83,1.4,0.0151,0.99,0.0378,0.0306,0.14,0.0683
2020-03-30,programmatic,1915.55,158343,2809,52,2330.67,36.84,1.22,0.0177,0.68,0.0358,0.0232,0.097,0.0308
2020-03-31,programmatic,1585.81,111279,1815,39,2415.02,40.66,1.52,0.0163,0.87,0.043,0.0419,0.182,0.0543
2020-04-01,programmatic,2073.59,189539,3173,47,3281.19,44.12,1.58,0.0167,0.65,0.0453,0.0407,0.062,0.0458
2020-04-02,programmatic,2061.69,145817,2543,62,3238.28,33.25,1.57,0.0174,0.81,0.0344,0.0258,0.136,0.0408
2020-04-03,programmatic,2519.88,195158,2442,69,4138.51,36.52,1.64,0.0125,1.03,0.0313,0.0237,0.116,0.0767
2020-04-04,programmatic,1473.99,70893,1071,42,2207.97,35.1,1.5,0.0151,1.38,0.0289,0.0185,0.042,0.097
2020-04-05,programmatic,1736.6,104389,1555,48,2464.15,36.18,1.42,0.0149,1.12,0.0347,0.0234,0.067,0.0405
2020-04-06,programmatic,1932.08,91285,1459,43,2938.83,44.93,1.52,0.016,1.32,0.0385,0.0223,0.112,0.0308
2020-04-07,programmatic,1798.16,85565,1156,44,2372.5,40.87,1.32,0.0135,1.56,0.0497,0.0286,0.15,0.0623
2020-04-08,programmatic,2529.93,158266,2434,57,3535.88,44.38,1.4,0.0154,1.04,0.0397,0.0126,0.184,0.0223
2020-04-09,programmatic,2439.2,146214,2316,59,3414.36,41.34,1.4,0.0158,1.05,0.0412,0.0219,0.109,0.062
2020-04-10,programmatic,1866.1,115762,1811,60,2964.74,31.1,1.59,0.0156,1.03,0.0318,0.0146,0.034,0.0896
2020-04-11,programmatic,1949.26,112355,1709,44,3302.06,44.3,1.69,0.0152,1.14,0.043,0.0342,0.17,0.0536
2020-04-12,programmatic,1327.58,100709,1606,28,1949.64,47.41,1.47,0.0159,0.83,0.0452,0.0352,0.059,0.0691
2020-04-13,programmatic,1573.3,120775,2162,42,2211.45,37.46,1.41,0.0179,0.73,0.0455,0.0369,0.091,0.0904
2020-04-14,programmatic,2144.98,122143,1482,57,3201.93,37.63,1.49,0.0121,1.45,0.0321,0.0348,0.128,0.0587
2020-04-15,programmatic,2209.78,191116,2815,57,3404.02,38.77,1.54,0.0147,0.79,0.0417,0.0236,0.124,0.0496
2020-04-16,programmatic,2128.65,131036,2146,60,3788.26,35.48,1.78,0.0164,0.99,0.0449,0.0233,0.072,0.0454
2020-04-17,programmatic,2058.44,157377,2148,50,2716.59,41.17,1.32,0.0136,0.96,0.0335,0.0356,0.11,0.0394
2020-04-18,programmatic,1703.46,83359,1349,36,2786.05,47.32,1.64,0.0162,1.26,0.0424,0.0115,0.092,0.0345
2020-04-19,programmatic,1734.27,127731,2075,47,2685.52,36.9,1.55,0.0162,0.84,0.0247,0.0346,0.193,0.0362
2020-04-20,programmatic,1732.32,85086,1145,43,2603.02,40.29,1.5,0.0135,1.51,0.0358,0.032,0.17,0.0422
