date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-11-01 23:08:59.491571,radio,1941.28,151694,2243,21,2850.35,92.44,1.47,0.0148,0.87
2025-11-02 23:08:59.491571,radio,2975.4,208259,3147,34,4169.21,87.51,1.4,0.0151,0.95
2025-11-03 23:08:59.491571,radio,2769.71,179083,2793,43,4669.46,64.41,1.69,0.0156,0.99
2025-11-04 23:08:59.491571,radio,2973.94,291511,5368,40,4086.11,74.35,1.37,0.0184,0.55
2025-11-05 23:08:59.491571,radio,2444.47,129582,1946,34,3271.59,71.9,1.34,0.015,1.26
2025-11-06 23:08:59.491571,radio,2443.74,147077,2364,27,3671.33,90.51,1.5,0.0161,1.03
2025-11-07 23:08:59.491571,radio,4077.46,205189,3195,41,5316.44,99.45,1.3,0.0156,1.28
2025-11-08 23:08:59.491571,radio,2579.67,205363,3335,38,3550.01,67.89,1.38,0.0162,0.77
2025-11-09 23:08:59.491571,radio,2785.59,151674,2232,43,3891.23,64.78,1.4,0.0147,1.25
2025-11-10 23:08:59.491571,radio,3328.08,234602,3090,40,4818.5,83.2,1.45,0.0132,1.08
2025-11-11 23:08:59.491571,radio,2495.31,171093,2457,29,3500.23,86.05,1.4,0.0144,1.02
2025-11-12 23:08:59.491571,radio,2862.67,260792,4202,32,3873.37,89.46,1.35,0.0161,0.68
2025-11-13 23:08:59.491571,radio,2907.81,194654,3004,36,4725.36,80.77,1.63,0.0154,0.97
2025-11-14 23:08:59.491571,radio,2469.48,238969,3656,31,3668.01,79.66,1.49,0.0153,0.68
2025-11-15 23:08:59.491571,radio,2436.28,152236,2621,30,3764.55,81.21,1.55,0.0172,0.93
2025-11-16 23:08:59.491571,radio,2042.31,173190,2846,25,2883.38,81.69,1.41,0.0164,0.72
2025-11-17 23:08:59.491571,radio,4046.1,265256,3694,50,5950.62,80.92,1.47,0.0139,1.1
2025-11-18 23:08:59.491571,radio,2180.66,108424,1607,29,2627.97,75.2,1.21,0.0148,1.36
2025-11-19 23:08:59.491571,radio,2844.34,223973,3382,32,3535.38,88.89,1.24,0.0151,0.84
2025-11-20 23:08:59.491571,radio,3462.95,227311,3546,41,4968.52,84.46,1.43,0.0156,0.98
2025-11-21 23:08:59.491571,radio,3090.74,262395,3967,43,4346.98,71.88,1.41,0.0151,0.78
2025-11-22 23:08:59.491571,radio,2226.97,206443,3055,22,3105.32,101.23,1.39,0.0148,0.73
2025-11-23 23:08:59.491571,radio,2586.97,252320,4093,27,3408.27,95.81,1.32,0.0162,0.63
