date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-11-01 23:08:59.491571,tiktok_ads,1674.25,98491,1545,71,2667.45,23.58,1.59,0.0157,1.08
2025-11-02 23:08:59.491571,tiktok_ads,1482.26,122942,1758,72,2986.66,20.59,2.01,0.0143,0.84
2025-11-03 23:08:59.491571,tiktok_ads,2673.27,202406,3467,112,4690.85,23.87,1.75,0.0171,0.77
2025-11-04 23:08:59.491571,tiktok_ads,3152.09,250658,3447,130,5722.16,24.25,1.82,0.0138,0.91
2025-11-05 23:08:59.491571,tiktok_ads,2695.94,159040,2027,117,5532.85,23.04,2.05,0.0127,1.33
2025-11-06 23:08:59.491571,tiktok_ads,2894.48,183769,3306,146,5010.01,19.83,1.73,0.018,0.88
2025-11-07 23:08:59.491571,tiktok_ads,3666.22,220809,3606,157,6478.3,23.35,1.77,0.0163,1.02
2025-11-08 23:08:59.491571,tiktok_ads,1903.8,115429,1846,73,3505.68,26.08,1.84,0.016,1.03
2025-11-09 23:08:59.491571,tiktok_ads,2126.48,159584,2130,89,3591.39,23.89,1.69,0.0133,1.0
2025-11-10 23:08:59.491571,tiktok_ads,2664.81,133084,1995,112,5016.24,23.79,1.88,0.015,1.34
2025-11-11 23:08:59.491571,tiktok_ads,2750.78,160990,2619,140,4759.73,19.65,1.73,0.0163,1.05
2025-11-12 23:08:59.491571,tiktok_ads,2389.76,171568,2802,109,3648.65,21.92,1.53,0.0163,0.85
2025-11-13 23:08:59.491571,tiktok_ads,2715.7,180791,2532,117,4912.59,23.21,1.81,0.014,1.07
2025-11-14 23:08:59.491571,tiktok_ads,2762.06,205787,2422,120,5216.33,23.02,1.89,0.0118,1.14
2025-11-15 23:08:59.491571,tiktok_ads,2329.15,136363,1965,111,3830.75,20.98,1.64,0.0144,1.19
2025-11-16 23:08:59.491571,tiktok_ads,2317.98,212617,3575,99,4457.58,23.41,1.92,0.0168,0.65
2025-11-17 23:08:59.491571,tiktok_ads,2597.97,268626,4194,122,4743.4,21.29,1.83,0.0156,0.62
2025-11-18 23:08:59.491571,tiktok_ads,2113.99,115278,1620,111,3225.89,19.04,1.53,0.0141,1.3
2025-11-19 23:08:59.491571,tiktok_ads,3075.15,263951,4448,147,4590.2,20.92,1.49,0.0169,0.69
2025-11-20 23:08:59.491571,tiktok_ads,2441.54,147924,2466,117,4465.09,20.87,1.83,0.0167,0.99
2025-11-21 23:08:59.491571,tiktok_ads,3043.19,221168,3403,143,4751.36,21.28,1.56,0.0154,0.89
2025-11-22 23:08:59.491571,tiktok_ads,1710.87,115178,1733,85,3185.44,20.13,1.86,0.015,0.99
2025-11-23 23:08:59.491571,tiktok_ads,1772.45,100305,1660,82,2895.54,21.62,1.63,0.0165,1.07
2025-11-24 23:08:59.491571,tiktok_ads,1807.68,138520,2060,90,2766.88,20.09,1.53,0.0149,0.88
2025-11-25 23:08:59.491571,tiktok_ads,1956.38,125234,1891,97,3167.95,20.17,1.62,0.0151,1.03
2025-11-26 23:08:59.491571,tiktok_ads,2229.35,157161,2751,99,3793.45,22.52,1.7,0.0175,0.81
2025-11-27 23:08:59.491571,tiktok_ads,3002.67,172228,2286,156,5853.27,19.25,1.95,0.0133,1.31
2025-11-28 23:08:59.491571,tiktok_ads,2807.04,229193,3787,110,4485.49,25.52,1.6,0.0165,0.74
2025-11-29 23:08:59.491571,tiktok_ads,2081.45,128706,1674,89,3874.21,23.39,1.86,0.013,1.24
2025-11-30 23:08:59.491571,tiktok_ads,2314.2,155632,1977,94,4070.0,24.62,1.76,0.0127,1.17
2025-12-01 23:08:59.491571,tiktok_ads,2692.85,146564,2125,115,4816.98,23.42,1.79,0.0145,1.27
2025-12-02 23:08:59.491571,tiktok_ads,2711.73,187313,2872,137,4869.61,19.79,1.8,0.0153,0.94
2025-12-03 23:08:59.491571,tiktok_ads,2361.43,172496,2171,108,4601.69,21.87,1.95,0.0126,1.09
2025-12-04 23:08:59.491571,tiktok_ads,3156.09,184900,2633,126,4946.84,25.05,1.57,0.0142,1.2
2025-12-05 23:08:59.491571,tiktok_ads,2598.81,205460,2869,114,4568.2,22.8,1.76,0.014,0.91
2025-12-06 23:08:59.491571,tiktok_ads,1725.14,134223,2150,85,3084.4,20.3,1.79,0.016,0.8
2025-12-07 23:08:59.491571,tiktok_ads,2446.17,148261,2328,118,4508.53,20.73,1.84,0.0157,1.05
2025-12-08 23:08:59.491571,tiktok_ads,2528.48,224017,3652,106,4770.75,23.85,1.89,0.0163,0.69
2025-12-09 23:08:59.491571,tiktok_ads,2832.73,166142,2439,139,5118.27,20.38,1.81,0.0147,1.16
2025-12-10 23:08:59.491571,tiktok_ads,2902.37,267330,4131,106,4813.64,27.38,1.66,0.0155,0.7
2025-12-11 23:08:59.491571,tiktok_ads,2770.59,252234,4045,128,5711.8,21.65,2.06,0.016,0.68
2025-12-12 23:08:59.491571,tiktok_ads,2272.8,178960,2536,88,4906.19,25.83,2.16,0.0142,0.9
2025-12-13 23:08:59.491571,tiktok_ads,2257.88,149764,1815,106,4045.72,21.3,1.79,0.0121,1.24
2025-12-14 23:08:59.491571,tiktok_ads,1995.85,103246,1354,97,3415.37,20.58,1.71,0.0131,1.47
2025-12-15 23:08:59.491571,tiktok_ads,2804.95,161472,2504,131,4907.67,21.41,1.75,0.0155,1.12
2025-12-16 23:08:59.491571,tiktok_ads,2713.98,206177,2757,112,4723.31,24.23,1.74,0.0134,0.98
2025-12-17 23:08:59.491571,tiktok_ads,2190.47,200101,2604,76,4433.61,28.82,2.02,0.013,0.84
2025-12-18 23:08:59.491571,tiktok_ads,2680.7,188315,2789,115,5090.11,23.31,1.9,0.0148,0.96
2025-12-19 23:08:59.491571,tiktok_ads,2622.95,183287,2515,118,3673.52,22.23,1.4,0.0137,1.04
2025-12-20 23:08:59.491571,tiktok_ads,2052.56,145992,2391,71,3830.38,28.91,1.87,0.0164,0.86
2025-12-21 23:08:59.491571,tiktok_ads,2144.81,101315,1347,93,4094.94,23.06,1.91,0.0133,1.59
2025-12-22 23:08:59.491571,tiktok_ads,2677.61,218688,3143,134,5087.44,19.98,1.9,0.0144,0.85
2025-12-23 23:08:59.491571,tiktok_ads,2389.34,212143,3199,98,4695.82,24.38,1.97,0.0151,0.75
2025-12-24 23:08:59.491571,tiktok_ads,2233.91,158719,2958,116,3933.77,19.26,1.76,0.0186,0.76
2025-12-25 23:08:59.491571,tiktok_ads,2662.36,147383,2672,140,4521.59,19.02,1.7,0.0181,1.0
2025-12-26 23:08:59.491571,tiktok_ads,1905.26,117835,1614,106,4071.1,17.97,2.14,0.0137,1.18
2025-12-27 23:08:59.491571,tiktok_ads,2160.39,135163,2214,133,3890.01,16.24,1.8,0.0164,0.98
2025-12-28 23:08:59.491571,tiktok_ads,1695.83,107561,1468,76,2770.01,22.31,1.63,0.0136,1.16
2025-12-29 23:08:59.491571,tiktok_ads,2346.96,133537,1956,118,4499.61,19.89,1.92,0.0146,1.2
2025-12-30 23:08:59.491571,tiktok_ads,2514.34,169322,3205,133,4390.18,18.9,1.75,0.0189,0.78
2025-12-31 23:08:59.491571,tiktok_ads,2083.01,131487,2319,82,4123.19,25.4,1.98,0.0176,0.9
2026-01-01 23:08:59.491571,tiktok_ads,2639.54,141373,2353,115,4725.93,22.95,1.79,0.0166,1.12
2026-01-02 23:08:59.491571,tiktok_ads,2265.37,179793,2679,118,3994.9,19.2,1.76,0.0149,0.85
2026-01-03 23:08:59.491571,tiktok_ads,2371.23,156268,2542,112,4249.94,21.17,1.79,0.0163,0.93
2026-01-04 23:08:59.491571,tiktok_ads,1325.93,71285,1016,64,2437.11,20.72,1.84,0.0143,1.31
2026-01-05 23:08:59.491571,tiktok_ads,1796.29,157142,2209,76,3027.89,23.64,1.69,0.0141,0.81
2026-01-06 23:08:59.491571,tiktok_ads,2430.8,137401,2323,117,3410.41,20.78,1.4,0.0169,1.05
2026-01-07 23:08:59.491571,tiktok_ads,2744.32,183193,2912,140,4840.25,19.6,1.76,0.0159,0.94
2026-01-08 23:08:59.491571,tiktok_ads,2750.63,168009,2887,134,4991.73,20.53,1.81,0.0172,0.95
2026-01-09 23:08:59.491571,tiktok_ads,2764.19,143733,2244,116,5017.25,23.83,1.82,0.0156,1.23
2026-01-10 23:08:59.491571,tiktok_ads,1741.67,127400,1819,69,3353.81,25.24,1.93,0.0143,0.96
2026-01-11 23:08:59.491571,tiktok_ads,2088.97,131102,2300,90,3834.34,23.21,1.84,0.0175,0.91
2026-01-12 23:08:59.491571,tiktok_ads,2901.83,243801,3802,129,5714.97,22.49,1.97,0.0156,0.76
