date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc
2025-12-04 00:00:11.240450,tv,12089.77,999028,14866,74,15774.0,163.38,1.3,0.0149,0.81
2025-12-05 00:00:11.240450,tv,9549.3,713323,11401,70,11871.88,136.42,1.24,0.016,0.84
2025-12-06 00:00:11.240450,tv,6715.77,428905,6943,38,7336.58,176.73,1.09,0.0162,0.97
2025-12-07 00:00:11.240450,tv,7315.23,377924,5676,44,7699.27,166.26,1.05,0.015,1.29
2025-12-08 00:00:11.240450,tv,9105.38,687373,9537,62,11810.32,146.86,1.3,0.0139,0.95
2025-12-09 00:00:11.240450,tv,9667.7,726849,11809,73,13713.29,132.43,1.42,0.0162,0.82
2025-12-10 00:00:11.240450,tv,10314.21,594409,8748,76,12369.68,135.71,1.2,0.0147,1.18
2025-12-11 00:00:11.240450,tv,11789.67,865549,11581,71,15447.65,166.05,1.31,0.0134,1.02
2025-12-12 00:00:11.240450,tv,9079.62,1070042,16037,59,11490.21,153.89,1.27,0.015,0.57
2025-12-13 00:00:11.240450,tv,8189.71,503506,8542,56,11096.67,146.24,1.35,0.017,0.96
2025-12-14 00:00:11.240450,tv,7740.85,408809,5462,47,10807.83,164.7,1.4,0.0134,1.42
2025-12-15 00:00:11.240450,tv,9619.49,563893,7748,66,12108.15,145.75,1.26,0.0137,1.24
2025-12-16 00:00:11.240450,tv,10101.76,750341,11317,84,13870.05,120.26,1.37,0.0151,0.89
2025-12-17 00:00:11.240450,tv,9535.53,637820,9466,57,8195.78,167.29,0.86,0.0148,1.01
2025-12-18 00:00:11.240450,tv,9319.55,538223,8360,52,10191.11,179.22,1.09,0.0155,1.11
2025-12-19 00:00:11.240450,tv,11892.28,650270,10168,84,13224.73,141.57,1.11,0.0156,1.17
2025-12-20 00:00:11.240450,tv,6146.08,350937,4906,43,7660.26,142.93,1.25,0.014,1.25
2025-12-21 00:00:11.240450,tv,4502.89,503229,5410,28,4744.07,160.82,1.05,0.0108,0.83
2025-12-22 00:00:11.240450,tv,11220.97,585429,9341,73,13161.32,153.71,1.17,0.016,1.2
2025-12-23 00:00:11.240450,tv,12424.45,1224100,17940,96,14857.83,129.42,1.2,0.0147,0.69
2025-12-24 00:00:11.240450,tv,9627.08,570655,9161,60,11605.13,160.45,1.21,0.0161,1.05
2025-12-25 00:00:11.240450,tv,13232.39,840779,11599,91,14384.63,145.41,1.09,0.0138,1.14
2025-12-26 00:00:11.240450,tv,12222.94,899668,14464,83,13837.97,147.26,1.13,0.0161,0.85
2025-12-27 00:00:11.240450,tv,7810.7,628299,9458,55,10933.75,142.01,1.4,0.0151,0.83
2025-12-28 00:00:11.240450,tv,8782.77,742121,12047,69,11045.48,127.29,1.26,0.0162,0.73
2025-12-29 00:00:11.240450,tv,8556.02,486571,7481,53,11402.61,161.43,1.33,0.0154,1.14
2025-12-30 00:00:11.240450,tv,9653.05,748210,10059,68,13287.65,141.96,1.38,0.0134,0.96
2025-12-31 00:00:11.240450,tv,10998.05,1030823,14715,79,11943.8,139.22,1.09,0.0143,0.75
2026-01-01 00:00:11.240450,tv,9875.93,595628,8763,64,12978.52,154.31,1.31,0.0147,1.13
2026-01-02 00:00:11.240450,tv,9702.71,630908,9019,61,13124.93,159.06,1.35,0.0143,1.08
2026-01-03 00:00:11.240450,tv,6808.56,406871,6455,53,8714.63,128.46,1.28,0.0159,1.05
2026-01-04 00:00:11.240450,tv,7845.61,439141,6561,45,8958.95,174.35,1.14,0.0149,1.2
2026-01-05 00:00:11.240450,tv,9087.47,565460,8550,57,11351.68,159.43,1.25,0.0151,1.06
2026-01-06 00:00:11.240450,tv,9943.16,579152,8784,53,13344.82,187.61,1.34,0.0152,1.13
2026-01-07 00:00:11.240450,tv,11510.74,816983,12155,72,13849.08,159.87,1.2,0.0149,0.95
2026-01-08 00:00:11.240450,tv,5244.36,265161,3985,34,5985.82,154.25,1.14,0.015,1.32
2026-01-09 00:00:11.240450,tv,8216.55,500392,7724,55,8828.4,149.39,1.07,0.0154,1.06
2026-01-10 00:00:11.240450,tv,9149.41,839015,13468,66,11016.63,138.63,1.2,0.0161,0.68
2026-01-11 00:00:11.240450,tv,8622.65,530809,9239,54,10348.85,159.68,1.2,0.0174,0.93
2026-01-12 00:00:11.240450,tv,9572.36,772262,11697,62,10239.22,154.39,1.07,0.0151,0.82
2026-01-13 00:00:11.240450,tv,11655.9,845896,12009,79,13657.1,147.54,1.17,0.0142,0.97
2026-01-14 00:00:11.240450,tv,10442.46,803035,12915,81,14136.09,128.92,1.35,0.0161,0.81
2026-01-15 00:00:11.240450,tv,8095.0,501157,6769,50,10366.73,161.9,1.28,0.0135,1.2
2026-01-16 00:00:11.240450,tv,10374.32,573539,9288,78,12134.52,133.0,1.17,0.0162,1.12
2026-01-17 00:00:11.240450,tv,8018.22,532483,6133,59,10243.04,135.9,1.28,0.0115,1.31
2026-01-18 00:00:11.240450,tv,8939.16,763105,7810,59,12016.85,151.51,1.34,0.0102,1.14
2026-01-19 00:00:11.240450,tv,10418.63,863576,16522,67,10388.61,155.5,1.0,0.0191,0.63
2026-01-20 00:00:11.240450,tv,9541.58,1093078,16117,59,10704.9,161.72,1.12,0.0147,0.59
2026-01-21 00:00:11.240450,tv,9601.59,607972,8982,66,11389.82,145.48,1.19,0.0148,1.07
2026-01-22 00:00:11.240450,tv,8103.99,915816,14752,51,7829.07,158.9,0.97,0.0161,0.55
2026-01-23 00:00:11.240450,tv,10760.53,835687,12205,72,11110.74,149.45,1.03,0.0146,0.88
2026-01-24 00:00:11.240450,tv,6084.93,315576,4535,43,7778.24,141.51,1.28,0.0144,1.34
2026-01-25 00:00:11.240450,tv,8907.79,707632,10940,73,11394.25,122.02,1.28,0.0155,0.81
2026-01-26 00:00:11.240450,tv,9628.37,570305,8315,56,10543.72,171.94,1.1,0.0146,1.16
2026-01-27 00:00:11.240450,tv,9762.54,652676,9728,66,10724.34,147.92,1.1,0.0149,1.0
2026-01-28 00:00:11.240450,tv,10361.86,583092,7827,68,13426.48,152.38,1.3,0.0134,1.32
2026-01-29 00:00:11.240450,tv,11303.16,670443,8134,85,14361.15,132.98,1.27,0.0121,1.39
2026-01-30 00:00:11.240450,tv,10139.47,532184,7460,70,11244.15,144.85,1.11,0.014,1.36
2026-01-31 00:00:11.240450,tv,7032.35,482492,8081,46,9017.37,152.88,1.28,0.0167,0.87
2026-02-01 00:00:11.240450,tv,8637.17,648705,10197,73,9815.83,118.32,1.14,0.0157,0.85
2026-02-02 00:00:11.240450,tv,6062.77,392498,6583,32,7661.67,189.46,1.26,0.0168,0.92
2026-02-03 00:00:11.240450,tv,13515.48,878080,12984,82,17757.42,164.82,1.31,0.0148,1.04
2026-02-04 00:00:11.240450,tv,9286.31,848193,12626,67,10377.99,138.6,1.12,0.0149,0.74
2026-02-05 00:00:11.240450,tv,7473.0,483977,6880,48,8935.02,155.69,1.2,0.0142,1.09
2026-02-06 00:00:11.240450,tv,14615.29,930992,13115,85,15355.63,171.94,1.05,0.0141,1.11
2026-02-07 00:00:11.240450,tv,6782.62,523517,8612,52,8490.94,130.44,1.25,0.0165,0.79
2026-02-08 00:00:11.240450,tv,9192.54,559630,8925,53,10090.77,173.44,1.1,0.0159,1.03
2026-02-09 00:00:11.240450,tv,9288.73,592299,9449,67,12940.53,138.64,1.39,0.016,0.98
2026-02-10 00:00:11.240450,tv,8766.89,599324,8033,66,9921.19,132.83,1.13,0.0134,1.09
2026-02-11 00:00:11.240450,tv,9985.23,586927,9335,80,10640.21,124.82,1.07,0.0159,1.07
2026-02-12 00:00:11.240450,tv,9412.18,678101,10827,69,10134.21,136.41,1.08,0.016,0.87
2026-02-13 00:00:11.240450,tv,11392.37,720874,9922,79,12093.92,144.21,1.06,0.0138,1.15
2026-02-14 00:00:11.240450,tv,7378.1,476808,6242,43,9586.02,171.58,1.3,0.0131,1.18
2026-02-15 00:00:11.240450,tv,8253.68,433187,7337,49,9532.37,168.44,1.15,0.0169,1.12
2026-02-16 00:00:11.240450,tv,12495.6,649372,10176,80,15875.5,156.19,1.27,0.0157,1.23
2026-02-17 00:00:11.240450,tv,9248.15,831046,12287,64,11362.52,144.5,1.23,0.0148,0.75
2026-02-18 00:00:11.240450,tv,11644.82,634003,9072,99,16118.04,117.62,1.38,0.0143,1.28
2026-02-19 00:00:11.240450,tv,10815.09,602577,7773,72,14574.4,150.21,1.35,0.0129,1.39
2026-02-20 00:00:11.240450,tv,10880.89,849042,14961,74,13165.23,147.04,1.21,0.0176,0.73
2026-02-21 00:00:11.240450,tv,9248.07,668069,10456,66,9616.58,140.12,1.04,0.0157,0.88
2026-02-22 00:00:11.240450,tv,8288.25,462805,7168,49,10731.54,169.15,1.29,0.0155,1.16
2026-02-23 00:00:11.240450,tv,7916.05,533231,8400,53,10506.27,149.36,1.33,0.0158,0.94
2026-02-24 00:00:11.240450,tv,9521.88,597839,8379,70,11285.32,136.03,1.19,0.014,1.14
2026-02-25 00:00:11.240450,tv,9646.43,683338,11739,70,12871.33,137.81,1.33,0.0172,0.82
2026-02-26 00:00:11.240450,tv,12293.12,1406164,17987,82,13264.11,149.92,1.08,0.0128,0.68
2026-02-27 00:00:11.240450,tv,7939.25,491022,5729,46,9637.44,172.59,1.21,0.0117,1.39
2026-02-28 00:00:11.240450,tv,6562.44,450767,7143,40,8100.76,164.06,1.23,0.0158,0.92
2026-03-01 00:00:11.240450,tv,9962.96,639561,11888,67,12038.48,148.7,1.21,0.0186,0.84
2026-03-02 00:00:11.240450,tv,6850.97,410229,5748,12,2844.37,570.91,0.42,0.014,1.19
2026-03-03 00:00:11.240450,tv,9926.55,569702,7820,18,5466.97,551.48,0.55,0.0137,1.27
2026-03-04 00:00:11.240450,tv,9364.36,668418,10761,19,3226.8,492.86,0.34,0.0161,0.87
